tool,timeout,benchmark,run_number,cut,tests,uncompilable,broken,failing,lines_total,lines_covered,lines_coverage_ratio,branches_total,branches_covered,branches_coverage_ratio,mutants_total,mutants_covered,mutants_coverage_ratio,mutants_killed,mutants_killed_ratio
evosuite-mo,30,SEATA-24,3,io.seata.core.protocol.transaction.BranchReportRequest,68,0,1,0,88,87,98.86364,22,21,95.454544,1,0,0.0,0,0.0
evosuite-mo,30,GUAVA-249,2,com.google.common.io.FileBackedOutputStream,34,0,0,0,50,48,96.0,16,14,87.5,30,29,96.666664,29,96.666664
evosuite-mo,30,SEATA-29,2,io.seata.core.rpc.DefaultServerMessageListenerImpl,11,0,0,0,68,21,30.882353,24,4,16.666668,22,3,13.636364,3,13.636364
evosuite-mo,30,SEATA-19,3,io.seata.core.protocol.RegisterRMRequest,54,0,0,0,62,62,100.0,26,26,100.0,0,0,0.0,0,0.0
evosuite-mo,30,SPOON-101,2,spoon.reflect.visitor.PrintingContext,42,0,0,0,34,34,100.0,24,24,100.0,34,34,100.0,34,100.0
evosuite-mo,30,FASTJSON-85,2,com.alibaba.fastjson.serializer.CharArrayCodec,6,0,0,0,35,3,8.571429,20,0,0.0,20,1,5.0,1,5.0
evosuite-mo,30,SEATA-29,1,io.seata.core.rpc.DefaultServerMessageListenerImpl,11,0,0,0,68,21,30.882353,24,4,16.666668,22,3,13.636364,3,13.636364
evosuite-mo,30,SEATA-6,3,io.seata.core.rpc.RpcContext,68,0,0,0,85,81,95.29412,32,30,93.75,1,0,0.0,0,0.0
evosuite-mo,30,SPOON-159,1,spoon.reflect.visitor.ModelConsistencyChecker,19,0,1,0,26,26,100.0,22,21,95.454544,0,0,0.0,0,0.0
evosuite-mo,30,SPOON-13,1,spoon.support.reflect.code.CtForImpl,9,0,2,0,58,41,70.68965,26,14,53.846157,12,0,0.0,0,0.0
evosuite-mo,30,SPOON-107,2,spoon.reflect.visitor.filter.CompositeFilter,28,0,4,0,26,21,80.769226,20,17,85.0,4,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-93,1,com.alibaba.fastjson.asm.ByteVector,44,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0
evosuite-mo,30,GUAVA-71,1,com.google.common.collect.SparseImmutableTable,1,0,0,0,63,22,34.920635,14,5,35.714287,16,7,43.75,7,43.75
evosuite-mo,30,FASTJSON-85,3,com.alibaba.fastjson.serializer.CharArrayCodec,6,0,0,0,35,3,8.571429,20,0,0.0,20,1,5.0,1,5.0
evosuite-mo,30,SPOON-165,2,spoon.reflect.visitor.AstParentConsistencyChecker,11,0,0,0,15,15,100.0,8,7,87.5,6,6,100.0,6,100.0
evosuite-mo,30,SPOON-107,1,spoon.reflect.visitor.filter.CompositeFilter,31,1,0,0,26,0,0.0,20,0,0.0,26,0,0.0,0,0.0
evosuite-mo,30,SPOON-157,3,spoon.support.DefaultCoreFactory,166,0,0,0,429,178,41.491844,160,81,50.625004,167,5,2.9940119,5,2.9940119
evosuite-mo,30,FASTJSON-26,3,com.alibaba.fastjson.parser.deserializer.MapDeserializer,15,0,0,0,198,18,9.090909,126,13,10.31746,138,16,11.594203,16,11.594203
evosuite-mo,30,SEATA-8,1,io.seata.core.protocol.MergedWarpMessage,21,0,1,0,46,29,63.04348,14,7,50.0,23,17,73.91304,17,73.91304
evosuite-mo,30,SEATA-8,2,io.seata.core.protocol.MergedWarpMessage,24,0,1,0,46,45,97.82609,14,12,85.71429,23,23,100.0,23,100.0
evosuite-mo,30,SPOON-157,2,spoon.support.DefaultCoreFactory,164,0,0,0,429,179,41.72494,160,82,51.25,161,0,0.0,0,0.0
evosuite-mo,30,SEATA-4,1,io.seata.core.protocol.MessageFuture,9,0,0,0,22,0,0.0,10,0,0.0,13,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-93,3,com.alibaba.fastjson.asm.ByteVector,47,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-50,1,com.alibaba.fastjson.parser.DefaultJSONParser,35,0,1,0,947,116,12.249208,570,39,6.842105,172,0,0.0,0,0.0
